precision,grid,vertices,core_p50_ms,core_p95_ms,query_p50_ms,query_p95_ms,total_p50_ms,total_p95_ms,max_penetration,max_stretch,max_p95_stretch,max_contacts,scratch_array_bytes
f64,32,1024,4.038271,4.702987,1.695335,1.9843929999999996,5.743567,6.694567999999999,0,0,0,1024,283696
f64,64,4096,16.632705,17.677894,7.32249,7.821775999999999,24.006099,25.537956,0,0,0,4096,1140784
f64,128,16384,69.306491,80.271885,30.834649000000002,36.50076200000001,100.36745800000001,117.026341,0,0,0,16384,4575280
